40817,Ontario,Waterloo,Bachelor of Applied Science in Mechanical Engineering,http://ugradcalendar.uwaterloo.ca/page/ENG-Mechanical-Engineering,University of Waterloo,14-Engineering,University
5453,British Columbia,Vancouver,Bachelor of Applied Science in Mechanical Engineering,https://you.ubc.ca/ubc_programs/mechanical-engineering-vancouver/,University of British Columbia,14-Engineering,University
30839,British Columbia,Kelowna,Bachelor of Applied Science in Mechanical Engineering - Okanagan,https://you.ubc.ca/ubc_programs/mechanical-engineering-okanagan/,University of British Columbia,14-Engineering,University
5462,British Columbia,Vancouver,Bachelor of Applied Science in Mining Engineering,https://you.ubc.ca/ubc_programs/mining-engineering/,University of British Columbia,14-Engineering,University
35231,Ontario,Ottawa,Bachelor of Computer Science in Software Engineering - Computer Science,http://admissions.carleton.ca/programs/software-engineering-computer-science/,Carleton University,14-Engineering,University
6587,Ontario,Guelph,Bachelor of Computing in Software Engineering,https://admission.uoguelph.ca/bcomp/se,University of Guelph,14-Engineering,University
26803,Alberta,Edmonton,Bachelor of Design  Engineering Route,http://apps.admissions.ualberta.ca/programs/ar/ar540/enggr1,University of Alberta,14-Engineering,University
36521,Ontario,Ottawa,Bachelor of Engineering,http://admissions.carleton.ca/programs/engineering/,Carleton University,14-Engineering,University
33940,Ontario,Oshawa,Bachelor of Engineering (Honours) in Manufacturing Engineering,https://ontariotechu.ca/programs/engineering-and-applied-science/manufacturing-engineering-manufacturing-engineering-and-management.php,OntarioTech University,14-Engineering,University
33934,Ontario,Oshawa,Bachelor of Engineering (Honours) in Mechanical Engineering,https://ontariotechu.ca/programs/engineering-and-applied-science/mechanical-engineering-mechanical-engineering-and-management.php,OntarioTech University,14-Engineering,University
37513,Ontario,Oshawa,Bachelor of Engineering (Honours) in Nuclear Engineering,https://ontariotechu.ca/programs/energy-systems-and-nuclear-science/nuclear-engineering.php,OntarioTech University,14-Engineering,University
30584,Ontario,Cambridge,Bachelor of Engineering - Building Systems Engineering,https://www.conestogac.on.ca/fulltime/bachelor-of-engineering-building-systems-engineering,Conestoga College Institute of Technology and Advanced Learning,14-Engineering,University
50446,Ontario,Thunder Bay,Bachelor of Engineering - Chemical Engineering with Diploma in Engineering Technology (4 Years),https://www.lakeheadu.ca/academics/undergraduate-programs/thunder-bay/engineering/chemical/node/1111,Lakehead University,14-Engineering,University
50448,Ontario,Thunder Bay,Bachelor of Engineering - CivilCivil Engineering with Diploma in Engineering Technology (4 Years),https://www.lakeheadu.ca/academics/undergraduate-programs/thunder-bay/engineering/civil/node/3355,Lakehead University,14-Engineering,University
50449,Ontario,Thunder Bay,Bachelor of Engineering - Electrical Engineering, with Diploma in Engineering Technology (4 Years),https://www.lakeheadu.ca/academics/undergraduate-programs/thunder-bay/engineering/electrical/node/3570,Lakehead University,14-Engineering,University
39508,Ontario,Cambridge,Bachelor of Engineering - Electronic Systems Engineering,https://www.conestogac.on.ca/fulltime/bachelor-of-engineering-electronic-systems-engineering,Conestoga College Institute of Technology and Advanced Learning,14-Engineering,University
50450,Ontario,Thunder Bay,Bachelor of Engineering - Mechanical Engineering with Diploma in Engineering Technology (4 Years),https://www.lakeheadu.ca/academics/undergraduate-programs/thunder-bay/engineering/mechanical/node/3571,Lakehead University,14-Engineering,University
39319,Ontario,Cambridge,Bachelor of Engineering - Mechanical Systems Engineering,https://www.conestogac.on.ca/fulltime/bachelor-of-engineering-mechanical-systems-engineering,Conestoga College Institute of Technology and Advanced Learning,14-Engineering,University
50451,Ontario,Thunder Bay,Bachelor of Engineering - Software Engineering with Diploma in Engineering Technology (4 Years),https://www.lakeheadu.ca/academics/undergraduate-programs/thunder-bay/engineering/software/node/3575,Lakehead University,14-Engineering,University
46772,Ontario,Guelph,Bachelor of Engineering - Undeclared,https://admission.uoguelph.ca/beng/und,University of Guelph,14-Engineering,University
33918,Ontario,Oshawa,Bachelor of Engineering and Management (Honours)  in Manufacturing Engineering,https://ontariotechu.ca/programs/engineering-and-applied-science/manufacturing-engineering-manufacturing-engineering-and-management.php,OntarioTech University,14-Engineering,University
33921,Ontario,Oshawa,Bachelor of Engineering and Management (Honours) in Mechanical Engineering,https://ontariotechu.ca/programs/engineering-and-applied-science/mechanical-engineering-mechanical-engineering-and-management.php,OntarioTech University,14-Engineering,University
35559,Ontario,Oshawa,Bachelor of Engineering and Management (Honours) in Nuclear Engineering,https://ontariotechu.ca/programs/energy-systems-and-nuclear-science/nuclear-engineering.php,OntarioTech University,14-Engineering,University
33924,Ontario,Oshawa,Bachelor of Engineering and Management (Honours) in Software Engineering,https://ontariotechu.ca/programs/engineering-and-applied-science/software-engineering-software-engineering-and-management.php,OntarioTech University,14-Engineering,University
6224,Ontario,Ottawa,Bachelor of Engineering in Aerospace Engineering,http://admissions.carleton.ca/programs/aerospace-engineering/,Carleton University,14-Engineering,University
7198,Ontario,Toronto,Bachelor of Engineering in Aerospace Engineering,https://www.ryerson.ca/programs/undergraduate/aerospace-engineering/,Ryerson University,14-Engineering,University
6527,Ontario,Guelph,Bachelor of Engineering in Biological Engineering,https://www.uoguelph.ca/engineering/undergraduate/prospective/biological,University of Guelph,14-Engineering,University
6542,Ontario,Guelph,Bachelor of Engineering in Biomedical Engineering,https://www.uoguelph.ca/engineering/undergraduate/prospective/biomedical,University of Guelph,14-Engineering,University
33873,Ontario,Toronto,Bachelor of Engineering in Biomedical Engineering,https://www.ryerson.ca/programs/undergraduate/biomedical-engineering/,Ryerson University,14-Engineering,University
41491,British Columbia,Victoria,Bachelor of Engineering in Biomedical Engineering,https://www.uvic.ca/engineering/biomedical/future-students/index.php,University of Victoria,14-Engineering,University
35245,Ontario,Ottawa,Bachelor of Engineering in Biomedical and Electrical Engineering,http://admissions.carleton.ca/programs/biomedical-and-electrical-engineering/,Carleton University,14-Engineering,University
35246,Ontario,Ottawa,Bachelor of Engineering in Biomedical and Mechanical Engineering,http://admissions.carleton.ca/programs/biomedical-and-mechanical-engineering/,Carleton University,14-Engineering,University
7202,Ontario,Toronto,Bachelor of Engineering in Chemical Engineering (Co-Op),https://www.ryerson.ca/programs/undergraduate/chemical-engineering-co-op/,Ryerson University,14-Engineering,University
26351,British Columbia,Burnaby,Bachelor of Engineering in Civil Engineering,https://www.bcit.ca/study/programs/8660beng,British Columbia Institute of Technology (BCIT),14-Engineering,University
2498,Newfoundland and Labrador,St. John's,Bachelor of Engineering in Civil Engineering,https://www.mun.ca/undergrad/programs/engineering/civil.php,Memorial University of Newfoundland,14-Engineering,University
6225,Ontario,Ottawa,Bachelor of Engineering in Civil Engineering,http://admissions.carleton.ca/programs/civil-engineering/,Carleton University,14-Engineering,University
7201,Ontario,Toronto,Bachelor of Engineering in Civil Engineering,https://www.ryerson.ca/programs/undergraduate/civil-engineering/,Ryerson University,14-Engineering,University
42695,British Columbia,Victoria,Bachelor of Engineering in Civil Engineering,https://www.uvic.ca/engineering/civil/,University of Victoria,14-Engineering,University
41892,Ontario,Toronto,Bachelor of Engineering in Civil Engineering,http://futurestudents.yorku.ca/program/civil-engineering,York University,14-Engineering,University
18795,Ontario,Ottawa,Bachelor of Engineering in Communications Engineering,http://admissions.carleton.ca/programs/communications-engineering/,Carleton University,14-Engineering,University
20711,Newfoundland and Labrador,St. John's,Bachelor of Engineering in Computer Engineering,https://www.mun.ca/undergrad/programs/engineering/computer.php,Memorial University of Newfoundland,14-Engineering,University
26698,Ontario,Guelph,Bachelor of Engineering in Computer Engineering,https://www.uoguelph.ca/engineering/undergraduate/prospective/computer,University of Guelph,14-Engineering,University
7200,Ontario,Toronto,Bachelor of Engineering in Computer Engineering,https://www.ryerson.ca/programs/undergraduate/computer-engineering/,Ryerson University,14-Engineering,University
7677,British Columbia,Victoria,Bachelor of Engineering in Computer Engineering,https://www.uvic.ca/engineering/ece/future/undergraduate/computer/index.php,University of Victoria,14-Engineering,University
29834,Ontario,Toronto,Bachelor of Engineering in Computer Engineering,http://futurestudents.yorku.ca/program/computer-engineering,York University,14-Engineering,University
6226,Ontario,Ottawa,Bachelor of Engineering in Computer Systems Engineering,http://admissions.carleton.ca/programs/computer-systems-engineering/,Carleton University,14-Engineering,University
35143,British Columbia,Burnaby,Bachelor of Engineering in Electrical Engineering,https://www.bcit.ca/study/programs/8030beng,British Columbia Institute of Technology (BCIT),14-Engineering,University
2497,Newfoundland and Labrador,St. John's,Bachelor of Engineering in Electrical Engineering,https://www.mun.ca/undergrad/programs/engineering/electrical.php,Memorial University of Newfoundland,14-Engineering,University
6222,Ontario,Ottawa,Bachelor of Engineering in Electrical Engineering,http://admissions.carleton.ca/programs/electrical-engineering/,Carleton University,14-Engineering,University
