43676,Nova Scotia,Sydney,"Bachelor of Engineering Technology - Major in Electronics and Controls","https://www.cbu.ca/academics/programs/electronics-controls/","Cape Breton University","15-Engineering Technology",University
43669,Nova Scotia,Sydney,"Bachelor of Engineering Technology - Major in Environmental Studies","https://www.cbu.ca/academic-programs/program/environmental-studies/","Cape Breton University","15-Engineering Technology",University
43670,Nova Scotia,Sydney,"Bachelor of Engineering Technology - Major in Manufacturing","https://www.cbu.ca/academic-programs/program/manufacturing/","Cape Breton University","15-Engineering Technology",University
43671,Nova Scotia,Sydney,"Bachelor of Engineering Technology - Minor in Petroleum","https://www.cbu.ca/academic-programs/program/petroleum/","Cape Breton University","15-Engineering Technology",University
25297,Ontario,Oshawa,"Bachelor of Engineering and Management (Honours) in Automotive Engineering","https://ontariotechu.ca/programs/engineering-and-applied-science/automotive-engineering-automotive-engineering-and-management.php","OntarioTech University","15-Engineering Technology",University
33916,Ontario,Oshawa,"Bachelor of Engineering and Management (Honours) in Electrical Engineering","https://ontariotechu.ca/programs/engineering-and-applied-science/electrical-engineering-electrical-engineering-and-management.php","OntarioTech University","15-Engineering Technology",University
45677,Ontario,Oshawa,"Bachelor of Engineering and Management (Honours) in Mechatronics Engineering","https://ontariotechu.ca/programs/engineering-and-applied-science/mechatronics-engineering.php","OntarioTech University","15-Engineering Technology",University
6528,Ontario,Guelph,"Bachelor of Engineering in Engineering Systems and Computing","https://www.uoguelph.ca/engineering/undergraduate/prospective/esc","University of Guelph","15-Engineering Technology",University
6529,Ontario,Guelph,"Bachelor of Engineering in Environmental Engineering","https://www.uoguelph.ca/engineering/undergraduate/prospective/environmental","University of Guelph","15-Engineering Technology",University
26703,Ontario,Guelph,"Bachelor of Engineering in Mechanical Engineering","https://www.uoguelph.ca/engineering/undergraduate/prospective/mechanical","University of Guelph","15-Engineering Technology",University
22007,Ontario,London,"Bachelor of Engineering in Mechatronic Systems Engineering/ Bachelor of Law","http://westerncalendar.uwo.ca/Modules.cfm?ModuleID=21287&SelectedCalendar=Live&ArchiveID=","University of Western Ontario","15-Engineering Technology",University
