40906,Ontario,Waterloo,"Master of Mathematics in Combinatorics and Optimization - Quantum Information","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-combinatorics-and-optimization/master-mathematics-mmath-combinatorics-and-optimization-quantum-information","University of Waterloo","27-Mathematics and Statistics",University - Master
40909,Ontario,Waterloo,"Master of Mathematics in Computational Mathematics","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/computational-mathematics/master-mathematics-mmath-computational-mathematics","University of Waterloo","27-Mathematics and Statistics",University - Master
51140,Ontario,Waterloo,"Master of Mathematics in Computational Mathematics - Co-operative Program","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/computational-mathematics/master-mathematics-mmath-computational-mathematics-co-operative-program","University of Waterloo","27-Mathematics and Statistics",University - Master
4409,Ontario,Waterloo,"Master of Mathematics in Pure Mathematics","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-pure-mathematics/master-mathematics-mmath-pure-mathematics","University of Waterloo","27-Mathematics and Statistics",University - Master
48147,Ontario,Waterloo,"Master of Mathematics in Pure Mathematics - Algebra and Logic","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-pure-mathematics/master-mathematics-mmath-pure-mathematics","University of Waterloo","27-Mathematics and Statistics",University - Master
48148,Ontario,Waterloo,"Master of Mathematics in Pure Mathematics - Analysis","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-pure-mathematics/master-mathematics-mmath-pure-mathematics","University of Waterloo","27-Mathematics and Statistics",University - Master
48149,Ontario,Waterloo,"Master of Mathematics in Pure Mathematics - Geometry and Topology","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-pure-mathematics/master-mathematics-mmath-pure-mathematics","University of Waterloo","27-Mathematics and Statistics",University - Master
48150,Ontario,Waterloo,"Master of Mathematics in Pure Mathematics - Number Theory","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-pure-mathematics/master-mathematics-mmath-pure-mathematics","University of Waterloo","27-Mathematics and Statistics",University - Master
4405,Ontario,Waterloo,"Master of Mathematics in Statistics","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-statistics-and-actuarial-science/master-mathematics-mmath-statistics","University of Waterloo","27-Mathematics and Statistics",University - Master
51021,Ontario,Waterloo,"Master of Mathematics in Statistics - Co-operative Program","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-statistics-and-actuarial-science/master-mathematics-mmath-statistics-co-operative-program","University of Waterloo","27-Mathematics and Statistics",University - Master
48163,Ontario,Waterloo,"Master of Mathematics in Statistics - Computational Statistics","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-statistics-and-actuarial-science/master-mathematics-mmath-statistics","University of Waterloo","27-Mathematics and Statistics",University - Master
48164,Ontario,Waterloo,"Master of Mathematics in Statistics - Finance","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-statistics-and-actuarial-science/master-mathematics-mmath-statistics","University of Waterloo","27-Mathematics and Statistics",University - Master
48165,Ontario,Waterloo,"Master of Mathematics in Statistics - Industrial Statistics","https://uwaterloo.ca/graduate-studies-academic-calendar/mathematics/department-statistics-and-actuarial-science/master-mathematics-mmath-statistics","University of Waterloo","27-Mathematics and Statistics",University - Master
